# 本文件由工具生成，勿手改——下次生成会原样覆盖。
# 生成命令：dita-tools upstream-index --out kb/vocab/upstream-nodes.tsv
# 来源版本：DITA-OT 4.4 · oasis-tcs/dita v2.0-beta03 (0a8920b3590e28dd87b1d70dd38d60d8e7406ddd)
# 生成日期：2026-08-18
# 列：source	title	parent	path	url
dita-ot	All DITA-OT extension points	Extension point reference	docsrc/extension-points/all-extension-points.dita	https://www.dita-ot.org/4.4/extension-points/all-extension-points.html
dita-ot	Extension points by plug-in	Extension point reference	docsrc/extension-points/extension-points-by-plugin.dita	https://www.dita-ot.org/4.4/extension-points/extension-points-by-plugin.html
dita-ot	Extension points in org.dita.base	Extension points by plug-in	docsrc/extension-points/extension-points-in-org.dita.base.dita	https://www.dita-ot.org/4.4/extension-points/extension-points-in-org.dita.base.html
dita-ot	Extension points in org.dita.eclipsehelp	Extension points by plug-in	docsrc/extension-points/extension-points-in-org.dita.eclipsehelp.dita	https://www.dita-ot.org/4.4/extension-points/extension-points-in-org.dita.eclipsehelp.html
dita-ot	Extension points in org.dita.html5	Extension points by plug-in	docsrc/extension-points/extension-points-in-org.dita.html5.dita	https://www.dita-ot.org/4.4/extension-points/extension-points-in-org.dita.html5.html
dita-ot	Extension points in org.dita.htmlhelp	Extension points by plug-in	docsrc/extension-points/extension-points-in-org.dita.htmlhelp.dita	https://www.dita-ot.org/4.4/extension-points/extension-points-in-org.dita.htmlhelp.html
dita-ot	Extension points in org.dita.pdf2	Extension points by plug-in	docsrc/extension-points/extension-points-in-org.dita.pdf2.dita	https://www.dita-ot.org/4.4/extension-points/extension-points-in-org.dita.pdf2.html
dita-ot	Extension points in org.dita.validate	Extension points by plug-in	docsrc/extension-points/extension-points-in-org.dita.validate.dita	https://www.dita-ot.org/4.4/extension-points/extension-points-in-org.dita.validate.html
dita-ot	Extension points in org.dita.xhtml	Extension points by plug-in	docsrc/extension-points/extension-points-in-org.dita.xhtml.dita	https://www.dita-ot.org/4.4/extension-points/extension-points-in-org.dita.xhtml.html
dita-ot	Extension points in org.lwdita	Extension points by plug-in	docsrc/extension-points/extension-points-in-org.lwdita.dita	https://www.dita-ot.org/4.4/extension-points/extension-points-in-org.lwdita.html
dita-ot	General extension points	Extension point reference	docsrc/extension-points/plugin-extension-points-general.dita	https://www.dita-ot.org/4.4/extension-points/plugin-extension-points-general.html
dita-ot	Pre-processing extension points	Extension point reference	docsrc/extension-points/plugin-extension-points-pre-processing.dita	https://www.dita-ot.org/4.4/extension-points/plugin-extension-points-pre-processing.html
dita-ot	Version and support information	Extension point reference	docsrc/extension-points/plugin-extension-points-support.dita	https://www.dita-ot.org/4.4/extension-points/plugin-extension-points-support.html
dita-ot	XSLT-import extension points	Extension point reference	docsrc/extension-points/plugin-extension-points-xslt-import.dita	https://www.dita-ot.org/4.4/extension-points/plugin-extension-points-xslt-import.html
dita-ot	XSLT-parameter extension points	Extension point reference	docsrc/extension-points/plugin-extension-points-xslt-parameters.dita	https://www.dita-ot.org/4.4/extension-points/plugin-extension-points-xslt-parameters.html
dita-ot	Extension point reference	Reference	docsrc/extension-points/plugin-extension-points.dita	https://www.dita-ot.org/4.4/extension-points/plugin-extension-points.html
